created_at,entry_id,field1,field2,field3,latitude,longitude,elevation,status
2026-06-02T09:55:26-05:00,1,466,686,220,,,,
2026-06-02T09:55:42-05:00,2,466,688,222,,,,
2026-06-02T09:56:12-05:00,3,468,691,223,,,,
2026-06-02T09:56:42-05:00,4,467,694,227,,,,
2026-06-02T09:56:57-05:00,5,468,695,227,,,,
2026-06-02T09:57:27-05:00,6,468,696,228,,,,
2026-06-02T09:57:57-05:00,7,468,698,230,,,,
2026-06-02T09:58:27-05:00,8,470,697,227,,,,
2026-06-02T09:58:42-05:00,9,470,696,226,,,,
2026-06-02T09:58:57-05:00,10,471,697,226,,,,
2026-06-02T09:59:28-05:00,11,470,698,228,,,,
2026-06-02T09:59:57-05:00,12,471,699,228,,,,
2026-06-02T10:00:14-05:00,13,472,700,228,,,,
2026-06-02T10:00:42-05:00,14,472,701,229,,,,
2026-06-02T10:00:57-05:00,15,474,703,229,,,,
2026-06-02T10:01:12-05:00,16,474,703,229,,,,
2026-06-02T10:01:42-05:00,17,476,704,228,,,,
2026-06-02T10:02:12-05:00,18,477,703,226,,,,
2026-06-02T10:02:42-05:00,19,480,705,225,,,,
2026-06-02T10:02:57-05:00,20,481,705,224,,,,
2026-06-02T10:03:27-05:00,21,483,707,224,,,,
2026-06-02T10:03:42-05:00,22,483,709,226,,,,
2026-06-02T10:04:12-05:00,23,483,709,226,,,,
2026-06-02T10:04:43-05:00,24,485,712,227,,,,
2026-06-02T10:05:13-05:00,25,485,712,227,,,,
2026-06-02T10:05:43-05:00,26,485,711,226,,,,
2026-06-02T10:05:58-05:00,27,484,711,227,,,,
2026-06-02T10:06:13-05:00,28,484,711,227,,,,
2026-06-02T10:06:43-05:00,29,483,709,226,,,,
2026-06-02T10:06:58-05:00,30,485,710,225,,,,
2026-06-02T10:07:27-05:00,31,485,710,225,,,,
2026-06-02T10:07:42-05:00,32,484,709,225,,,,
2026-06-02T10:07:57-05:00,33,484,707,223,,,,
2026-06-02T10:08:27-05:00,34,481,705,224,,,,
2026-06-02T10:08:56-05:00,35,480,701,221,,,,
2026-06-02T10:09:11-05:00,36,480,699,219,,,,
2026-06-02T10:09:26-05:00,37,481,698,217,,,,
2026-06-02T10:09:42-05:00,38,481,696,215,,,,
2026-06-02T10:10:11-05:00,39,480,693,213,,,,
2026-06-02T10:10:26-05:00,40,480,693,213,,,,
2026-06-02T10:24:42-05:00,41,465,671,206,,,,
2026-06-02T10:25:12-05:00,42,467,671,204,,,,
2026-06-02T10:25:27-05:00,43,468,670,202,,,,
2026-06-02T10:25:42-05:00,44,467,670,203,,,,
2026-06-02T10:25:57-05:00,45,468,670,202,,,,
2026-06-02T10:26:27-05:00,46,468,670,202,,,,
2026-06-02T10:26:57-05:00,47,468,672,204,,,,
2026-06-02T10:27:13-05:00,48,467,673,206,,,,
2026-06-02T10:28:00-05:00,49,469,677,208,,,,
2026-06-02T10:28:28-05:00,50,471,682,211,,,,
2026-06-02T10:35:42-05:00,51,476,691,215,,,,
2026-06-02T10:36:26-05:00,52,478,694,216,,,,
2026-06-02T10:36:59-05:00,53,481,696,215,,,,
2026-06-02T10:37:26-05:00,54,482,697,215,,,,
2026-06-02T10:37:42-05:00,55,483,698,215,,,,
2026-06-02T10:38:13-05:00,56,483,698,215,,,,
2026-06-02T10:38:28-05:00,57,484,697,213,,,,
2026-06-02T10:42:29-05:00,58,484,700,216,,,,
2026-06-02T10:43:43-05:00,59,483,696,213,,,,
2026-06-02T10:44:00-05:00,60,483,696,213,,,,
2026-06-02T10:44:30-05:00,61,481,693,212,,,,
2026-06-02T10:46:21-05:00,62,481,688,207,,,,
2026-06-02T10:46:54-05:00,63,480,689,209,,,,
2026-06-02T10:47:33-05:00,64,478,690,212,,,,
